"Gmina","TERYT"
"Lubawka","0207033"
"Lubenia","1816102"
"Lubichowo","2213062"
"Lubicz","0415042"
"Lubień","1209022"
"Lubień Kujawski","0418113"
"Lubiewo","0416042"
"Lubin","0211011"
"Lubin","0211022"
"Lubiszyn","0801052"
"Lubliniec","2407011"
"Lubniewice","0807023"
"Lubochnia","1016062"
"Lubomia","2415072"
"Lubomierz","0212023"
"Lubomino","2809042"
"Luboń","3021011"
"Lubowidz","1437032"
"Lubraniec","0418123"
"Lubrza","0808012"
"Lubrza","1610032"
"Lubsko","0811063"
"Lubsza","1601052"
"Lubycza Królewska","0618052"
"Ludwin","0610022"
"Lutocin","1437042"
"Lutomiersk","1008062"
"Lutowiska","1801052"
"Lututów","1018042"
"Luzino","2215072"
"Lwówek","3015023"
"Lwówek Śląski","0212033"
"Lyski","2412042"
"Łabiszyn","0419043"
"Łabowa","1210082"
"Łabunie","0620052"
"Ładzice","1012092"
"Łagiewniki","0202062"
"Łagów","0808022"
"Łagów","2604072"
"Łambinowice","1607042"
"Łanięta","1002072"
"Łańcut","1810011"
"Łańcut","1810042"
"Łapanów","1201052"
"Łapsze Niżne","1211082"
"Łapy","2002063"
