"name.long","name.short","name.gen","district","type","adres"
"Skwer Batalionu AK „Gozdawa”","Skwer Batalionu AK „Gozdawa”","Skweru Batalionu AK „Gozdawa”","Śródmieście","Skwer","Skwer Batalionu AK „Gozdawa”"
"ulica Batalionu AK „Karpaty”","ul. Batalionu AK „Karpaty”","ulicy Batalionu AK „Karpaty”","Mokotów","ulica","Batalionu AK „Karpaty”"
"Skwer Batalionu AK „Miłosz”","Skwer Batalionu AK „Miłosz”","Skweru Batalionu AK „Miłosz”","Śródmieście","Skwer","Skwer Batalionu AK „Miłosz”"
"ulica Batalionu AK „Oaza”","ul. Batalionu AK „Oaza”","ulicy Batalionu AK „Oaza”","Mokotów","ulica","Batalionu AK „Oaza”"
"ulica Batalionu AK „Olza”","ul. Batalionu AK „Olza”","ulicy Batalionu AK „Olza”","Mokotów","ulica","Batalionu AK „Olza”"
"ulica Batalionu AK „Parasol”","ul. Batalionu AK „Parasol”","ulicy Batalionu AK „Parasol”","Wola","ulica","Batalionu AK „Parasol”"
"ulica Batalionu AK „Pięść”","ul. Batalionu AK „Pięść”","ulicy Batalionu AK „Pięść”","Wola","ulica","Batalionu AK „Pięść”"
"Skwer Batalionu AK „Ruczaj”","Skwer Batalionu AK „Ruczaj”","Skweru Batalionu AK „Ruczaj”","Śródmieście","Skwer","Skwer Batalionu AK „Ruczaj”"
"ulica Batalionu AK „Ryś”","ul. Batalionu AK „Ryś”","ulicy Batalionu AK „Ryś”","Mokotów","ulica","Batalionu AK „Ryś”"
"ulica Batalionu AK „Włochy”","ul. Batalionu AK „Włochy”","ulicy Batalionu AK „Włochy”","Włochy","ulica","Batalionu AK „Włochy”"
"Skwer Batalionu AK „Zaremba-Piorun”","Skwer Batalionu AK „Zaremba-Piorun”","Skweru Batalionu AK „Zaremba-Piorun”","Śródmieście","Skwer","Skwer Batalionu AK „Zaremba-Piorun”"
"ulica Batalionu AK „Zośka”","ul. Batalionu AK „Zośka”","ulicy Batalionu AK „Zośka”","Wola","ulica","Batalionu AK „Zośka”"
"Skwer Batalionu Harcerskiego AK „Wigry”","Skwer Batalionu Harcerskiego AK „Wigry”","Skweru Batalionu Harcerskiego AK „Wigry”","Śródmieście","Skwer","Skwer Batalionu Harcerskiego AK „Wigry”"
"ulica Batalionu Platerówek","ul. Batalionu Platerówek","ulicy Batalionu Platerówek","Praga-Północ","ulica","Batalionu Platerówek"
